isSubprocessOf                          domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isSubstituteFor                         domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isTaxonomicLevelOf                      domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isThemeOf                               domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isUseOf                                 domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isUsedAs                                domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isUsedIn                                domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isUsedToMake                            domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isWeedOf                                domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
makeUseOf                               domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
measures                                domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
partitiveRelationship                   domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
performs                                domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
pestOf                                  domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
precedes                                domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
prevents                                domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
produces                                domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
productOf                               domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
publishes                               domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
quantitativeRelationship                domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
smallerThan                             domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
spatialRelationships                    domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
spatiallyIncludes                       domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
study                                   domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
surroundedBy                            domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
surrounds                               domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
